speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2
20,24,0.8,2.47,0.0,0.0,25.243,52,348.029,0.40485813568496526,0.06321312286271223,5.85515501330614,121124.184841,Car,VRU
20,24,1.3,2.4,0.0,0.0,19.398,47,265.806,0.41666649305562786,0.08276713060364653,5.5865218025442225,70652.829636,Car,VRU
20,24,7.24,2.37,0.0,0.56,19.671,47,269.653,0.42194075023597033,0.08158633472801587,5.600837557607936,72712.740409,Car,VRU
9,3,4.34,2.27,0.0,0.56,8.165,44,107.818,0.44052844029584126,0.05564933447430546,4.689676761914431,11624.721124,Car,VRU
5,4,51.43,2.9,0.0,0.0,0.996,48,6.97,0.3448274673008733,0.6456240106708736,2.075684492802124,48.5809,Car,Ped
8,12,5.63,2.33,0.56,0.56,1.936,51,20.196,0.42918436515692476,0.4951475294539745,3.053812484630516,407.8784160000001,Car,VRU
11,12,4.66,1.7,0.0,0.0,9.944,50,132.835,0.5882349480970894,0.08657356806132745,4.896607697941289,17645.137225000002,Car,VRU
7,10,86.63,2.1,-1.11,0.0,3.587,53,43.416,0.47619024943321453,0.1957803529624942,3.7935997648843394,1884.9490559999997,VRU,Car
8,2,82.7,2.83,1.11,0.0,3.334,52,39.864,0.353356765598316,0.12542644678340242,3.7102494798501287,1589.1384959999998,VRU,Ped
6,13,84.58,1.67,-0.56,0.56,1.701,51,16.892,0.5988020366454871,0.5623963673693839,2.8843536855706016,285.33966399999997,VRU,VRU
9,13,87.11,1.47,0.56,0.56,1.418,50,12.919,0.6802716460737102,0.851459025353431,2.6332548132452636,166.900561,VRU,VRU
8,16,89.64,2.0,0.0,1.11,2.657,53,30.339,0.499999750000125,0.3955304922531892,3.444863328314142,920.4549209999999,VRU,VRU
13,12,5.7,2.53,-0.56,0.0,2.467,52,27.673,0.39525676076807875,0.4517038105119138,3.3559559134164663,765.7949289999999,Car,Car
