sample_index,speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2,event_type
622,9,10,3.04,2.53,0.0,0.0,4.794,38,67.86,0.3952567607680787,0.1399941034483627,4.232075457910378,4604.9796,Car,Car,0
623,9,10,16.92,2.33,0.0,0.0,2.506,37,31.699,0.4291843651569247,0.2996939872016786,3.487344496395843,1004.826601,Car,Car,0
624,10,23,36.99,2.57,1.11,-1.11,2.553,37,32.434,0.3891049069630712,0.5087253959201642,3.509573346280439,1051.9643559999995,Car,VRU,1
625,11,10,0.91,2.83,0.0,0.0,6.553,36,95.642,0.353356765598316,0.1097844031933209,4.571013429336597,9147.392164,Car,Car,0
626,11,10,1.6,2.7,0.0,0.0,6.064,37,87.924,0.3703702331962099,0.1194213170531218,4.487782072339745,7730.629776000002,Car,Car,0
627,11,13,4.57,1.8,0.0,0.0,4.006,36,55.404,0.5555552469137517,0.2165908559564137,4.032540077974984,3069.6032160000004,Car,VRU,0
628,12,10,3.91,2.5,0.0,0.0,13.54,38,206.051,0.399999840000064,0.0533848413577956,5.332965139731181,42457.014601,VRU,VRU,0
629,6,9,55.25,2.1,0.0,0.56,3.036,36,40.067,0.4761902494332145,0.1871864580031832,3.715204879281485,1605.364489,Ped,VRU,1
630,7,8,64.9,1.7,0.0,0.0,1.014,34,8.122,0.5882349480970894,0.9234177636767098,2.210689078289509,65.966884,VRU,VRU,1
631,10,3,65.34,1.33,0.0,0.0,0.702,37,3.187,0.7518791339254632,2.0395349734750634,1.4319844870370062,10.156968999999998,Car,Ped,1
632,8,3,75.5,2.6,0.0,0.0,0.686,33,2.94,0.3846152366864473,1.870747663010999,1.3711807233098423,8.6436,LCV,Ped,1
633,8,8,0.49,2.0,0.0,0.0,4.742,34,67.034,0.499999750000125,0.1193424214675773,4.220007580217758,4493.557156000001,Car,Car,0
634,8,14,6.86,1.13,0.0,0.0,2.407,35,30.134,0.8849549690663993,0.3650361596523475,3.4383004696136577,908.057956,Car,VRU,1
635,13,3,86.13,2.77,-1.11,0.0,1.897,34,22.074,0.3610106999961371,0.3624173071297767,3.138706442505098,487.2614760000001,Car,Ped,1
636,9,17,85.43,2.27,1.11,1.11,1.735,36,19.517,0.4405284402958412,0.6660859421998288,3.0212538107840685,380.913289,Car,VRU,1
637,14,12,4.96,2.7,1.11,0.0,6.899,36,101.122,0.3703702331962099,0.1285575826372344,4.626168176983697,10225.658884,Car,VRU,0
638,13,12,4.91,2.7,1.11,0.0,6.735,36,98.515,0.3703702331962099,0.1268842295398241,4.600308386571184,9705.205225,Car,VRU,0
639,13,14,9.44,1.3,0.0,0.0,4.271,31,59.594,0.7692301775152481,0.2265328686355527,4.104195878272475,3551.444836,LCV,VRU,0
640,9,8,20.75,2.9,-0.56,-2.22,2.637,35,33.767,0.3448274673008733,0.2517250495535567,3.548668661020364,1140.210289,LCV,VRU,0
641,8,9,21.26,2.97,-1.11,-1.67,2.579,36,32.853,0.3367002233332581,0.2587282665592711,3.522027621723673,1079.319609,LCV,VRU,0
642,19,12,17.96,2.0,-0.56,0.0,5.432,36,77.937,0.499999750000125,0.1988785788665386,4.36865006596555,6074.175969,Car,VRU,0
643,11,38,40.07,2.4,0.0,0.0,6.71,32,98.127,0.4166664930556278,0.249676437171457,4.596401856296235,9628.908129,VRU,VRU,0
644,17,6,40.93,2.13,0.0,0.0,1.635,37,17.937,0.4694833476604002,0.6411328181338675,2.941117680280768,321.73596900000007,Car,VRU,1
645,24,21,1.82,1.37,0.56,0.0,7.884,30,116.677,0.7299264745062229,0.1928400610845319,4.767943583106235,13613.522329,VRU,VRU,0
646,6,4,56.84,2.6,0.0,0.56,2.563,34,32.596,0.3846152366864473,0.1533930496566128,3.5144070122633804,1062.4992159999997,Car,Ped,1
647,14,23,20.26,2.5,0.0,1.11,7.903,34,116.984,0.399999840000064,0.1581412829263721,4.770549022051734,13685.256256,VRU,VRU,0
648,8,4,64.96,1.23,-1.11,0.0,0.849,35,5.519,0.8130074690996186,1.087153272847749,1.8747209899424024,30.459361,VRU,Ped,1
649,8,4,87.04,1.1,1.11,0.0,1.134,34,10.017,0.9090900826453794,0.5989816712606898,2.399439534357928,100.34028899999998,VRU,Ped,1
650,7,4,75.58,2.9,0.56,0.0,3.664,33,49.99,0.3448274673008733,0.1100220021999999,3.931629535067065,2499.0001,VRU,Ped,0
651,12,20,41.96,1.67,-5.0,0.0,2.886,39,37.702,0.5988020366454871,0.4243806582043218,3.655891278286956,1421.4408039999998,VRU,Car,0
652,3,9,5.77,2.27,0.56,0.0,4.191,37,58.319,0.4405284402958412,0.1028824207739772,4.082929659406802,3401.1057610000003,Car,VRU,0
653,6,9,28.28,2.5,0.56,1.11,1.254,44,11.908,0.399999840000064,0.6298286337060268,2.557847274189715,141.80046399999998,Car,VRU,0
654,10,13,25.77,2.97,0.56,1.67,3.73,43,51.045,0.3367002233332581,0.2252914051270172,3.952108728967432,2605.5920250000004,Car,VRU,0
655,10,12,24.72,1.53,0.0,0.0,4.611,40,64.965,0.6535943440559843,0.1693219399781122,4.18912429833574,4220.451225000001,VRU,VRU,1
656,12,5,54.87,2.6,0.0,0.0,0.819,39,5.036,0.3846152366864473,1.68784716285799,1.7977415409056023,25.361296,LCV,Ped,0
